# manifest dibuat ulang 2026-09-25T22:15:14Z — dihasilkan oleh universe/write_universe_manifest.py, jangan disunting manual
# dataset sumber: bsc-universe.jsonl (60 snapshot)
# kolom sha256 = hash kanonik snapshot pada saat pengambilan, bukan hash baris ini
# kolom gap_since_prev_h = jam sejak snapshot SEBELUMNYA di file; >1,5 berarti rekaman berhenti
snapshot_utc	schema	universe	lolos	dinilai_penuh	pool_berharga	gap_since_prev_h	gdelt_lines	sha256_snapshot
2026-09-21T18:01:30Z	1	90	15	-	0		-	0x3ebff90a5ffa3cb7e6b9b936bd1a5dc6888376e324c8f646ff599ce3113ef7f0
2026-09-21T18:02:57Z	1	90	15	-	0	0.02	-	0x71c50a13513934a607a84d51165838cf54afd1f530f31cebb04f84b721429efd
2026-09-21T19:02:59Z	1	90	15	-	0	1.00	-	0xa0b223afca5b61aa369ada0ada4c8856b67b7046b4596d1744e4be23564bb345
2026-09-21T20:03:00Z	1	90	15	-	0	1.00	-	0xd73d5a33db7895589ce96992ea612c158cc037e839eacb1cd60505b638c2889f
2026-09-21T21:03:02Z	1	90	15	-	0	1.00	-	0xd3cc7e714a5b448b7adec76f31147f58b56f09e0adc221fc6794c1c951176e84
2026-09-21T22:03:03Z	1	90	16	-	0	1.00	-	0x4089f16187c4a2c3247f2c30a6e2ecfdc6e7ed32795a7f3b4508a52e048233ec
2026-09-21T23:03:05Z	1	90	15	-	0	1.00	-	0x7b3126318f98bab214d6e8ebb0a52d56fa212d1e026d2c14ababa74afcbc285a
2026-09-22T01:03:58Z	1	90	15	-	0	2.01	-	0xe9d49f86fde77594ed72b8eca5478d5fe9fc5b1070c55020e174576ce39eba36
2026-09-22T01:29:10Z	1	90	15	0	0	0.42	-	0xdc8c05f0b709b290dc3df6589cc05f18e4df6c42e8c06f112f88891bbc7835f7
2026-09-22T01:29:37Z	1	90	15	0	0	0.01	-	0x38d360863f22e0cc26b617a3d56212385a02a5d637956a8143239411f8494ed2
2026-09-22T01:30:49Z	1	90	15	0	0	0.02	-	0x6f434249a5f196759ad40e31fdff10861f9f64a2c4ae1949348ed5dd58a81335
2026-09-22T01:31:12Z	2	90	15	0	0	0.01	-	0x14450e3bb60a2056c2d0d346b66db20a45955baec071f77110d45070e2e965d8
